Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,95206068,01/30/2026 01:10,01/30/2026 01:10,XAUUSD,Sell,0.010,0.00000,5429.96000,5438.26000,5429.92000,0.0000,0.0000,834.0,8.34,0.57,"PythonX XAUUSD M1[tp 5429.96]",525252,00:00:00:23,,,,,,,,,,,,
,95202110,01/29/2026 22:41,01/29/2026 22:42,XAUUSD,Sell,0.010,5350.59000,0.00000,5344.85000,5350.66000,0.0000,0.0000,-581.0,-5.81,-0.39,"PythonX XAUUSD M1[sl 5350.59]",525252,00:00:01:15,,,,,,,,,,,,
,95198297,01/29/2026 21:13,01/29/2026 21:13,XAUUSD,Buy,0.010,5318.12000,0.00000,5323.12000,5316.64000,0.0000,0.0000,-648.0,-6.48,-0.44,"PythonX XAUUSD M1[sl 5318.12]",525252,00:00:00:47,,,,,,,,,,,,
,95196960,01/29/2026 20:52,01/29/2026 20:55,XAUUSD,Sell,0.010,0.00000,5348.90000,5357.18000,5348.90000,0.0000,0.0000,828.0,8.28,0.56,"PythonX XAUUSD M1[tp 5348.90]",525252,00:00:03:05,,,,,,,,,,,,
,95193341,01/29/2026 19:55,01/29/2026 19:55,XAUUSD,Buy,0.010,5336.99000,0.00000,5342.66000,5336.87000,0.0000,0.0000,-579.0,-5.79,-0.39,"PythonX XAUUSD M1[sl 5336.99]",525252,00:00:00:09,,,,,,,,,,,,
,95184544,01/29/2026 18:34,01/29/2026 18:34,XAUUSD,Sell,0.010,0.00000,5292.67000,5300.97000,5291.60000,0.0000,0.0000,937.0,9.37,0.64,"PythonX XAUUSD M1[tp 5292.67]",525252,00:00:00:09,,,,,,,,,,,,
,95182113,01/29/2026 18:16,01/29/2026 18:16,XAUUSD,Sell,0.080,0.00000,5257.41000,5265.43000,5257.14000,0.0000,0.0000,829.0,66.32,4.72,"PythonX XAUUSD M1[tp 5257.41]",525252,00:00:00:12,,,,,,,,,,,,
,95121710,01/29/2026 13:37,01/29/2026 13:46,XAUUSD,Sell,0.050,5520.95000,0.00000,5515.14000,5521.00000,0.0000,0.0000,-586.0,-29.30,-2.04,"PythonX XAUUSD M1[sl 5520.95]",525252,00:00:09:04,,,,,,,,,,,,
,95119430,01/29/2026 13:01,01/29/2026 13:03,XAUUSD,Buy,0.030,5479.61000,0.00000,5485.24000,5479.58000,0.0000,0.0000,-566.0,-16.98,-1.17,"PythonX XAUUSD M1[sl 5479.61]",525252,00:00:02:04,,,,,,,,,,,,
,95113535,01/29/2026 10:47,01/29/2026 10:47,XAUUSD,Buy,0.020,5491.58000,0.00000,5497.28000,5491.51000,0.0000,0.0000,-577.0,-11.54,-0.79,"PythonX XAUUSD M1[sl 5491.58]",525252,00:00:00:44,,,,,,,,,,,,
,95112764,01/29/2026 10:43,01/29/2026 10:43,XAUUSD,Buy,0.010,5511.99000,0.00000,5516.77000,5511.93000,0.0000,0.0000,-484.0,-4.84,-0.33,"PythonX XAUUSD M1[sl 5511.99]",525252,00:00:00:28,,,,,,,,,,,,
,95104750,01/29/2026 08:09,01/29/2026 08:10,XAUUSD,Sell,0.010,5587.85000,0.00000,5581.82000,5587.86000,0.0000,0.0000,-604.0,-6.04,-0.41,"PythonX XAUUSD M1[sl 5587.85]",525252,00:00:01:03,,,,,,,,,,,,
,95101124,01/29/2026 06:29,01/29/2026 06:33,XAUUSD,Sell,0.010,5551.60000,0.00000,5545.84000,5551.68000,0.0000,0.0000,-584.0,-5.84,-0.39,"PythonX XAUUSD M1[sl 5551.60]",525252,00:00:04:36,,,,,,,,,,,,
,95099252,01/29/2026 05:06,01/29/2026 05:11,XAUUSD,Buy,0.010,0.00000,5531.45000,5523.58000,5531.48000,0.0000,0.0000,790.0,7.90,0.54,"PythonX XAUUSD M1[tp 5531.45]",525252,00:00:05:10,,,,,,,,,,,,
,95009632,01/28/2026 11:46,01/28/2026 12:02,XAUUSD,Buy,0.010,0.00000,5280.15000,5272.33000,5280.15000,0.0000,0.0000,782.0,7.82,0.53,"PythonX XAUUSD M1[tp 5280.15]",525252,00:00:16:19,,,,,,,,,,,,
,95008533,01/28/2026 11:20,01/28/2026 11:21,XAUUSD,Buy,0.010,5273.03000,0.00000,5279.07000,5272.99000,0.0000,0.0000,-608.0,-6.08,-0.41,"PythonX XAUUSD M1[sl 5273.03]",525252,00:00:01:18,,,,,,,,,,,,
,95007190,01/28/2026 10:50,01/28/2026 10:54,XAUUSD,Buy,0.010,0.00000,5293.16000,5284.82000,5293.63000,0.0000,0.0000,881.0,8.81,0.60,"PythonX XAUUSD M1[tp 5293.16]",525252,00:00:04:25,,,,,,,,,,,,
,95003372,01/28/2026 09:12,01/28/2026 09:16,XAUUSD,Sell,0.010,5276.21000,0.00000,5270.47000,5276.22000,0.0000,0.0000,-575.0,-5.75,-0.39,"PythonX XAUUSD M1[sl 5276.21]",525252,00:00:04:32,,,,,,,,,,,,
,94997961,01/28/2026 06:25,01/28/2026 06:55,XAUUSD,Sell,0.010,5243.91000,0.00000,5238.24000,5243.91000,0.0000,0.0000,-567.0,-5.67,-0.39,"PythonX XAUUSD M1[sl 5243.91]",525252,00:00:30:05,0.0,0s,3172.0,3333.33,0.0,0.0,-3172.0,-31.720000000000002,0.0,82.1,-567.00,-5.67
,94996663,01/28/2026 05:12,01/28/2026 05:30,XAUUSD,Sell,0.010,0.00000,5236.01000,5244.10000,5235.93000,0.0000,0.0000,817.0,8.17,0.56,"PythonX XAUUSD M1[tp 5236.01]",525252,00:00:18:48,,,,,,,,,,,,
